tag_id,name,category,count,aliases,is_core,is_attire
385430,hatsune_miku_(VOCALOID),4,109002,"[""hatsune_miku_(VOCALOID)"", ""/hm""]",False,False
12239,hakurei_reimu_(touhou),4,80802,"[""hakurei_reimu_(touhou)"", ""/hr"", ""reimu_hakurei""]",False,False
12242,kirisame_marisa_(touhou),4,72489,"[""kirisame_marisa_(touhou)"", ""/km"", ""marisa_kirisame""]",False,False
12248,remilia_scarlet_(touhou),4,53284,"[""remilia_scarlet_(touhou)"", ""/rs""]",False,False
12249,flandre_scarlet_(touhou),4,53151,"[""flandre_scarlet_(touhou)"", ""/fs""]",False,False
12314,izayoi_sakuya_(touhou),4,46669,"[""izayoi_sakuya_(touhou)"", ""/is""]",False,False
388200,kochiya_sanae_(touhou),4,36001,"[""kochiya_sanae_(touhou)"", ""/ks"", ""kotiya_sanae""]",False,False
9123,alice_margatroid_(touhou),4,35363,"[""alice_margatroid_(touhou)"", ""/am""]",False,False
12247,patchouli_knowledge_(touhou),4,34876,"[""patchouli_knowledge_(touhou)"", ""/pk""]",False,False
12244,konpaku_youmu_(touhou),4,35676,"[""konpaku_youmu_(touhou)"", ""/ky""]",False,False
1720,cirno_(touhou),4,35275,"[""cirno_(touhou)""]",False,False
427142,komeiji_koishi_(touhou),4,35595,"[""komeiji_koishi_(touhou)""]",False,False
12246,yakumo_yukari_(touhou),4,33172,"[""yakumo_yukari_(touhou)"", ""/yy""]",False,False
12308,shameimaru_aya_(touhou),4,29359,"[""shameimaru_aya_(touhou)"", ""/sa""]",False,False
12304,reisen_udongein_inaba_(touhou),4,27462,"[""reisen_udongein_inaba_(touhou)"", ""/rui""]",False,False
12307,fujiwara_no_mokou_(touhou),4,26979,"[""fujiwara_no_mokou_(touhou)"", ""fujiwara_mokou"", ""/fm"", ""/fnm"", ""huziwara_no_mokou""]",False,False
427143,komeiji_satori_(touhou),4,26237,"[""komeiji_satori_(touhou)""]",False,False
11374,hong_meiling_(touhou),4,25325,"[""hong_meiling_(touhou)"", ""ex-meiling""]",False,False
592924,akemi_homura_(mahou_shoujo_madoka_magica),4,26676,"[""akemi_homura_(mahou_shoujo_madoka_magica)""]",False,False
12245,saigyouji_yuyuko_(touhou),4,24473,"[""saigyouji_yuyuko_(touhou)"", ""/sy""]",False,False
592925,kaname_madoka_(mahou_shoujo_madoka_magica),4,25939,"[""kaname_madoka_(mahou_shoujo_madoka_magica)""]",False,False
395218,inubashiri_momiji_(touhou),4,22963,"[""inubashiri_momiji_(touhou)"", ""inubashiri_momizi""]",False,False
12250,yakumo_ran_(touhou),4,20429,"[""yakumo_ran_(touhou)"", ""/yr""]",False,False
390427,kagamine_rin_(VOCALOID),4,21495,"[""kagamine_rin_(VOCALOID)"", ""/kr""]",False,False
427145,kaenbyou_rin_(touhou),4,19633,"[""kaenbyou_rin_(touhou)"", ""orin""]",False,False
