tag_id,name,category,count,aliases,is_core,is_attire
9999999,general,9,1589178,"[""general""]",False,False
9999998,sensitive,9,3994361,"[""sensitive""]",False,False
9999997,questionable,9,892496,"[""questionable""]",False,False
9999996,explicit,9,706509,"[""explicit""]",False,False
470575,1girl,0,6162235,"[""1girl"", ""sole_female"", ""1girls""]",False,False
212816,solo,0,5123169,"[""solo"", ""female_solo"", ""solo_female""]",False,False
13197,long_hair,0,4471971,"[""long_hair"", ""/lh"", ""longhair""]",True,False
8601,breasts,0,3534031,"[""breasts"", ""/b"", ""breats"", ""breast"", ""oppai"", ""tits"", ""boobs""]",True,False
469576,looking_at_viewer,0,3417465,"[""looking_at_viewer"", ""pov_eye_contact"", ""/pec"", ""/lav""]",False,False
3389,blush,0,3017838,"[""blush"", ""flushed"", ""flush"", ""blushing""]",False,False
1815,smile,0,2959743,"[""smile"", "":}"", "":)"", ""smiling""]",False,False
11906,open_mouth,0,2446659,"[""open_mouth"", ""mouth_open""]",False,False
15080,short_hair,0,2318066,"[""short_hair"", ""short-hair"", ""shorthair""]",True,False
10959,blue_eyes,0,1808633,"[""blue_eyes"", ""light_blue_eyes"", ""blueeyes""]",True,False
412368,simple_background,0,1885217,"[""simple_background"", ""/simplebg"", ""/sbg""]",False,False
12590,shirt,0,1889701,"[""shirt"", ""shirt_only"", ""shirts""]",False,True
403247,large_breasts,0,1622463,"[""large_breasts"", ""big_breasts"", ""/lb"", ""large_boobs"", ""large_breast"", ""large_tits""]",True,False
429,skirt,0,1598355,"[""skirt""]",False,True
87788,blonde_hair,0,1585003,"[""blonde_hair"", ""gold_hair"", ""/blondeh"", ""blond_hair"", ""yellow_hair"", ""blond"", ""blondehair"", ""blonde""]",True,False
566835,multiple_girls,0,1574004,"[""multiple_girls"", ""/ngirls""]",False,False
16867,brown_hair,0,1538510,"[""brown_hair"", ""chocolate_hair"", ""/brownh"", ""brown-hair"", ""brunette"", ""brownhair""]",True,False
13200,black_hair,0,1551408,"[""black_hair"", ""/blackh"", ""dark_hair"", ""black-hair"", ""blackhair""]",True,False
383159,long_sleeves,0,1623199,"[""long_sleeves"", ""long_sleeve"", ""/lsleeves""]",False,True
380350,hair_ornament,0,1460588,"[""hair_ornament"", ""/hornament"", ""hair_decs"", ""hair_accessories"", ""hair_ornaments"", ""hair_accessory""]",True,True
515193,white_background,0,1552929,"[""white_background"", ""/whitebg"", ""/wbg""]",False,False
540830,1boy,0,1452701,"[""1boy"", ""sole_male"", ""1boys""]",False,False
5735,gloves,0,1393992,"[""gloves"", ""glove""]",False,True
8526,red_eyes,0,1309911,"[""red_eyes"", ""red_eye"", ""redeyes""]",True,False
2241,dress,0,1336759,"[""dress""]",False,True
1882,thighhighs,0,1194599,"[""thighhighs"", ""naked_thighhighs"", ""nude_thighhighs"", ""thighhighs_only"", ""thighighs"", ""stockings"", ""stocking"", ""thigh_highs"", ""/t"", ""thighhigh"", ""thighhigs"", ""thighhgihs""]",False,True
2373,hat,0,1238009,"[""hat""]",True,True
375387,holding,0,1413538,"[""holding"", ""holding_object"", ""hold""]",False,False
4563,bow,0,1209177,"[""bow"", ""bows""]",True,False
9294,navel,0,1181065,"[""navel"", ""bellybutton"", ""belly_button""]",False,False
6126,animal_ears,0,1206851,"[""animal_ears"", ""kemonomimi""]",True,False
464575,ribbon,0,1113274,"[""ribbon"", ""ribbons""]",True,False
658573,hair_between_eyes,0,1202948,"[""hair_between_eyes"", ""bangs_between_eyes""]",True,False
572080,closed_mouth,0,1220449,"[""closed_mouth""]",False,False
1821,2girls,0,1050059,"[""2girls"", ""2_girls"", ""2girl""]",False,False
4607,cleavage,0,1028424,"[""cleavage"", ""overboob"", ""clevage""]",False,True
16613,jewelry,0,1098877,"[""jewelry"", ""jewellery"", ""jewelery""]",False,True
376054,bare_shoulders,0,1000734,"[""bare_shoulders"", ""bare_shoulder"", ""bareshoulders""]",False,True
417660,very_long_hair,0,982174,"[""very_long_hair"", ""hair_past_waist"", ""/vlh""]",True,False
12289,sitting,0,966125,"[""sitting"", ""sitting_down"", ""sit""]",False,False
1709,twintails,0,926128,"[""twintails"", ""/tt"", ""twintaiks"", ""twin_tails"", ""twintail""]",True,False
667868,medium_breasts,0,909422,"[""medium_breasts""]",True,False
16578,brown_eyes,0,863097,"[""brown_eyes"", ""light_brown_eyes"", ""browneyes""]",True,False
15675,standing,0,931400,"[""standing""]",False,False
8889,nipples,0,849206,"[""nipples"", ""nipple""]",False,True
10960,green_eyes,0,871640,"[""green_eyes"", ""green-eyes"", ""greeneyes""]",True,False
464906,underwear,0,808473,"[""underwear"", ""shitagi"", ""undergarments""]",False,True
10953,blue_hair,0,880574,"[""blue_hair"", ""/blueh"", ""bluehair""]",True,False
3843,jacket,0,973090,"[""jacket""]",False,True
16509,school_uniform,0,808690,"[""school_uniform"", ""school_girl"", ""school_uniforms"", ""schoolgirl"", ""seifuku"", ""/s""]",False,True
15654,purple_eyes,0,832771,"[""purple_eyes"", ""light_purple_eyes"", ""violet_eyes"", ""purpleeyes""]",True,False
466499,collarbone,0,809775,"[""collarbone"", ""clavicle"", ""collarbones"", ""clavicles""]",False,False
15674,tail,0,807646,"[""tail"", ""tails"", ""animal_tail"", ""animal_tails"", ""shippo""]",True,False
376766,white_shirt,0,882554,"[""white_shirt"", ""white_blouse""]",False,True
608813,full_body,0,842318,"[""full_body""]",False,False
547463,upper_body,0,799118,"[""upper_body"", ""bust""]",False,False
391,panties,0,659089,"[""panties"", ""panty"", ""/p"", ""pantie"", ""pantsu""]",False,True
465619,closed_eyes,0,730175,"[""closed_eyes"", ""eyes_closed""]",False,False
89189,yellow_eyes,0,714683,"[""yellow_eyes"", ""golden_eyes"", ""hazel_eyes"", ""amber_eyes"", ""hazeleyes"", ""gold_eyes"", ""yelloweyes""]",True,False
444,swimsuit,0,673436,"[""swimsuit"", ""bathing_suit"", ""swimsuits"", ""swim_suit"", ""mizugi""]",False,True
16581,white_hair,0,725458,"[""white_hair"", ""whitehair""]",True,False
11429,pink_hair,0,715785,"[""pink_hair"", ""/pinkh"", ""magenta_hair"", ""pinkhair""]",True,False
1681,monochrome,0,645780,"[""monochrome"", ""monochromatic"", ""monochorme"", ""/m"", ""monochome""]",False,False
16580,grey_hair,0,706358,"[""grey_hair"", ""gray_hair""]",True,False
3522,ahoge,0,668124,"[""ahoge""]",True,False
4334,braid,0,646486,"[""braid"", ""hair_braid"", ""braided_hair"", ""braids""]",True,False
464561,hair_ribbon,0,617778,"[""hair_ribbon"", ""ribbon_hair_ornament"", ""/hribbon"", ""ribbon_in_hair"", ""ribbons_in_hair"", ""hair_ribbons""]",True,True
16442,purple_hair,0,665971,"[""purple_hair"", ""lavender_hair"", ""/purpleh"", ""violet_hair"", ""purple-hair"", ""purplehair""]",True,False
1300281,male_focus,0,738211,"[""male_focus"", ""guys_only"", ""boys_only"", ""male"", ""man"", ""male_only"", ""men""]",False,False
2355,ponytail,0,713752,"[""ponytail"", ""long_ponytail"", ""pony_tail""]",True,False
8101,ass,0,605812,"[""ass"", ""butt_cheeks"", ""rearend"", ""buttocks"", ""butt"", ""oshiri""]",False,False
464559,flower,0,639071,"[""flower"", ""flowers""]",False,False
